Speaker|Party|Speech ID|Gendered Terms
Präsident Dr. Wolfgang Schäuble||1|[Kolleginnen] Tag liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Bitte nehmen; [Kolleginnen] Sitzung Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen wie Sie; [Epidemiologische] identifiziert worden Epidemiologische Erkenntnisse deuten; [Interessenvertreter] als bezahlte Interessenvertreter und der; [MüllerGemmeke] Lindner Beate MüllerGemmeke weiterer Abgeordneter; [Bauer] Suding Nicole Bauer weiterer Abgeordneter; [Landwirtschaft] Ernährung und Landwirtschaft f Ausschuss
Präsident Dr. Wolfgang Schäuble||2|
Svenja Schulze||3|[Präsident] Herr Präsident Sehr geehrte; [Landwirtschaft] die der Landwirtschaft und den; [Landwirtinnen] weiß Die Landwirtinnen und Landwirte; [Landwirte] Landwirtinnen und Landwirte sind unter; [Landwirtschaft] in der Landwirtschaft künftig besser; [Landwirtschaft] Zukunft unserer Landwirtschaft und nutzt
Präsident Dr. Wolfgang Schäuble||4|[Kollege] stellt der Kollege Karsten Hilse
Karsten Hilse|AfD|5|[Präsident] Dank Herr Präsident – Sehr; [Ministerin] Sehr geehrte Ministerin Zum Thema
Präsident Dr. Wolfgang Schäuble||6|
Svenja Schulze||7|
Präsident Dr. Wolfgang Schäuble||8|[Kollege] Nachfrage Herr Kollege
Karsten Hilse|AfD|9|[Ministerin] – Frau Ministerin in einem
Svenja Schulze||10|
Präsident Dr. Wolfgang Schäuble||11|[Kollege] Der Kollege Dr Hoffmann
Till Mansmann|FDP|12|[Präsident] Dank Herr Präsident – Frau; [Ministerin] – Frau Ministerin Sie haben
Svenja Schulze||13|[Fahrzeuge] auf kleinere Fahrzeuge zu setzen; [EFahrzeugen] bei den EFahrzeugen zu haben
Präsident Dr. Wolfgang Schäuble||14|[Kollegen] Nachfrage des Kollegen Marc Bernhard; [Kollegen] Frage des Kollegen Alois Gerig
Marc Bernhard|AfD|15|[Präsident] Danke Herr Präsident – Frau; [Ministerin] – Frau Ministerin bereits heute; [Bundeskanzlerin] 1929 wie Bundeskanzlerin Merkel ja
Svenja Schulze||16|
Präsident Dr. Wolfgang Schäuble||17|
Alois Gerig|CDU/CSU|18|[Bäuerinnen] wir unseren Bäuerinnen und Bauern; [Bauern] Bäuerinnen und Bauern den Rücken; [Bäuerinnen] Arbeit unserer Bäuerinnen und Bauern; [Bauern] Bäuerinnen und Bauern weiter erschwert; [Landwirtschaft] NGOs und Landwirtschaft – umgesetzt
Svenja Schulze||19|[Landwirtschaft] Zukunft der Landwirtschaft am Herzen; [Kollegin] bei meiner Kollegin Klöckner liegt; [Landwirtschaft] aus der Landwirtschaft heraus sehr; [Landwirtschaft] für die Landwirtschaft Wir haben; [Kollegin] Ressort meiner Kollegin Klöckner sehr
Präsident Dr. Wolfgang Schäuble||20|[Kollege] hat der Kollege Dr Hoffmann
Christoph Hoffmann|FDP|21|[Präsident] Dank Herr Präsident für die; [Ministerin] – Frau Ministerin ich will
