Speaker|Party|Speech ID|Gendered Terms
Präsident Dr. Wolfgang Schäuble||1|[Kolleginnen] Morgen liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Bitte nehmen; [Kollegin] nachträglich der Kollegin Franziska Gminder; [Kollegen] und dem Kollegen Dr Ernst
Präsident Dr. Wolfgang Schäuble||2|[Bundeskanzlerin] durch die Bundeskanzlerin zur Bewältigung; [Bundeskanzlerin] erteile der Bundeskanzlerin das Wort
Angela Merkel||3|[Präsident] geehrter Herr Präsident Liebe Kolleginnen; [Kolleginnen] Präsident Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Meine Damen; [Bundeskanzlerin] Arbeit als Bundeskanzlerin der Arbeit; [Ärztinnen] können unseren Ärztinnen und Ärzten; [Pflegerinnen] Ärzten und Pflegerinnen und Pflegern; [Pflegern] Pflegerinnen und Pflegern gar nicht; [Wissenschaftlerinnen] Warnungen verschiedener Wissenschaftlerinnen und Wissenschaftler; [Wissenschaftler] Wissenschaftlerinnen und Wissenschaftler hin nicht; [Coronapatienten] Zahl der Coronapatienten in den; [Wissenschaftlerinnen] Arbeit fantastischer Wissenschaftlerinnen und Wissenschaftler; [Wissenschaftler] Wissenschaftlerinnen und Wissenschaftler in Rekordgeschwindigkeit; [Coronapatienten] um die Coronapatienten kümmern Heute; [Produzenten] schon zugelassenen Produzenten auch erreichen; [Friseure] werden die Friseure öffnen Wir; [Gastronomie] Freizeitgestaltung Dann Gastronomie und Hotels; [Friseure] Schulen die Friseure und dann; [Bundeswirtschaftsminister] sagen Der Bundeswirtschaftsminister und der; [Bundesfinanzminister] und der Bundesfinanzminister haben versprochen; [Präsident] Schritt Herr Präsident liebe Kolleginnen; [Kolleginnen] Präsident liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen meine Damen
Präsident Dr. Wolfgang Schäuble||4|
Alice Weidel|AfD|5|[Präsident] geehrter Herr Präsident Frau Bundeskanzlerin; [Bundeskanzlerin] Präsident Frau Bundeskanzlerin Sehr geehrte; [Kanzlerin] Bürger Die Kanzlerin legt vorher; [Ministerpräsidenten] soll die Ministerpräsidenten betreiben im; [Unternehmern] Selbstständigen und Unternehmern wertvolle Lebenszeit; [Arzt] nicht zum Arzt gehen Ausgebliebene; [Kurzarbeiter] Arbeitslose Millionen Kurzarbeiter 175 000; [Unternehmer] 175 000 Unternehmer und Selbstständige; [Gastronomen] Insolvenz stehen Gastronomen und Gewerbetreibende; [Einzelhändler] Lebenswerk zerbricht Einzelhändler die ihre; [Innenminister] dass Ihr Innenminister schon vor; [Wissenschaftlern] bei willfährigen Wissenschaftlern möglichst dramatische; [Kanzleramt] dass das Kanzleramt mit hastig
Präsident Dr. Wolfgang Schäuble||6|
Rolf Mützenich|SPD|7|[Präsident] geehrter Herr Präsident Liebe Kolleginnen; [Kolleginnen] Präsident Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Die letzten; [Ministerpräsidentenkonferenz] Beschlüsse der Ministerpräsidentenkonferenz angemessen notwendig; [Mitarbeiterinnen] Zuwendung Die Mitarbeiterinnen und Mitarbeiter; [Mitarbeiter] Mitarbeiterinnen und Mitarbeiter leisten in; [Bundeskanzlerin] gewesen Frau Bundeskanzlerin und ich; [Leistungsbezieher] Auch dass Leistungsbezieher in der; [Kolleginnen] Partei Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Impfungen bleiben; [Präsident] ein ehemaliger Präsident einen Staatsstreich
Präsident Dr. Wolfgang Schäuble||8|
Christian Lindner|FDP|9|[Präsident] Herr Präsident Liebe Kolleginnen; [Kolleginnen] Präsident Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Diese Regierungserklärung; [Bundeskanzleramt] was das Bundeskanzleramt mit den; [Ministerpräsidentenkonferenz] Entscheidungsgrundlage der Ministerpräsidentenkonferenz bereits im; [Kolleginnen] werben Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen wir haben; [Bundeskanzlerin] die Frau Bundeskanzlerin gesagt hat; [Oberbürgermeister] ist obwohl Oberbürgermeister auch CDUOberbürgermeister; [CDUOberbürgermeister] Oberbürgermeister auch CDUOberbürgermeister sagen selbstverständlich; [Kanzleramt] dass im Kanzleramt auch schon; [Bundeskanzlerin] angelegt Frau Bundeskanzlerin Es ist; [Kanzleramt] aus dem Kanzleramt dies erfolgt; [Bundeskanzleramt] Bundesbildungsministeriums im Bundeskanzleramt nicht ernst; [Friseure] öffnen die Friseure obwohl das; [Friseur] verantwortbar den Friseur zu öffnen; [Friseuren] bei den Friseuren nicht in; [Gastronomie] in der Gastronomie sind solche; [Friseure] für die Friseure bereits den; [Kolleginnen] der eigenen Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen in den
Präsident Dr. Wolfgang Schäuble||10|
