Speaker|Party|Speech ID|Gendered Terms
Ekin Deligöz|BÜNDNIS 90/DIE GRÜNEN|39|[Präsident] Herr Präsident Liebe Kolleginnen; [Kolleginnen] Präsident Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Ja wir; [Ministerin] Sie Frau Ministerin vorgelegt haben; [Verfahrenslotsen] hinsichtlich der Verfahrenslotsen und Ombudsleute; [Kolleginnen] nicht Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen lassen Sie
Präsident Dr. Wolfgang Schäuble||40|[Kollegin] Wort die Kollegin Ulrike Bahr
Ulrike Bahr|SPD|41|[Präsident] geehrter Herr Präsident Liebe Kollegen; [Kollegen] Präsident Liebe Kollegen und Kolleginnen; [Kolleginnen] Kollegen und Kolleginnen Seit 30; [Träger] und freie Träger ganz überwiegend; [Ministerin] bei Frau Ministerin Giffey und; [Staatssekretärin] bei Frau Staatssekretärin Caren Marks; [Ministerium] hat das Ministerium sehr klug; [Vertretern] Beteiligungsprozess mit Vertretern von Verbänden
Präsident Dr. Wolfgang Schäuble||42|[Kollegin] ist die Kollegin Nadine Schön
Nadine Schön|CDU/CSU|43|[Präsident] geehrter Herr Präsident Liebe Kolleginnen; [Kolleginnen] Präsident Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Die Reform; [Vorredner] Legislaturperiode Die Vorredner sind bereits; [Ministerium] gesagt Das Ministerium muss das; [Ministerium] hat das Ministerium gemacht in; [Ministerin] liebe Frau Ministerin Ihnen und; [Staatssekretärin] Prozess Der Staatssekretärin Caren Marks; [Kollege] sich unser Kollege Marcus Weinberg
Präsident Dr. Wolfgang Schäuble||44|
Präsident Dr. Wolfgang Schäuble||45|
Präsident Dr. Wolfgang Schäuble||46|[Kollegen] Wort dem Kollegen Stephan Brandner
Stephan Brandner|AfD|47|[Präsident] Herr Präsident Meine Damen; [Präsident] Schluss Herr Präsident – Mit
Präsident Dr. Wolfgang Schäuble||48|[Kollege] ist der Kollege Dr Marco
Jan-Marco Luczak|CDU/CSU|49|[Präsident] Herr Präsident Meine sehr; [Kolleginnen] sehr verehrten Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Es ist; [Kollege] Mehrheit lieber Kollege Brandner da; [Bauernfängerei] dass das Bauernfängerei ist dass
Präsident Dr. Wolfgang Schäuble||50|[Kollegen] Zwischenfrage des Kollegen Brandner
Jan-Marco Luczak|CDU/CSU|51|[Jurastudent] gefragt welcher Jurastudent im ersten
Präsident Dr. Wolfgang Schäuble||52|[Kollegen] Wort dem Kollegen Dr Wieland
Wieland Schinnenburg|FDP|53|[Präsident] Herr Präsident Meine Damen; [Mitarbeiter] und deren Mitarbeiter der Gefahr; [Kollegen] von Ihren Kollegen hat Menschen
Präsident Dr. Wolfgang Schäuble||54|[Kollege] ist der Kollege Dr Edgar
Edgar Franke|SPD|55|[Präsident] Herr Präsident Meine sehr; [Gesundheitsminister] für einen Gesundheitsminister und es; [Bundesgesundheitsminister] Auch der Bundesgesundheitsminister hat hier; [Gesundheitspolitiker] nur wir Gesundheitspolitiker sondern wir
Präsident Dr. Wolfgang Schäuble||56|[Kollege] ist der Kollege Niema Movassat
Niema Movassat|DIE LINKE|57|[Präsident] Herr Präsident Meine Damen; [Partygäste] diese peinlichen Partygäste die weil; [Gesundheitsminister] Verharmlosung durch Gesundheitsminister Jens Spahn; [Virologen] Jens Spahn Virologen bestätigen Die; [Professor] nicht von Professor Drosten er; [Coronapatienten] so viele Coronapatienten wie noch; [Intensivmediziner] Chef der Intensivmediziner sprach davon
Präsident Dr. Wolfgang Schäuble||58|[Kollegin] Wort der Kollegin Dr Manuela
Manuela Rottmann|BÜNDNIS 90/DIE GRÜNEN|59|[Präsident] geehrter Herr Präsident Liebe Kolleginnen; [Kolleginnen] Präsident Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Wir stehen; [Bundesgesundheitsminister] für den Bundesgesundheitsminister die daran; [Assistentin] ich war Assistentin an der
Vizepräsidentin Dagmar Ziegler||60|
Ansgar Heveling|CDU/CSU|61|[Präsidentin] Frau Präsidentin Liebe Kolleginnen; [Kolleginnen] Präsidentin Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Ultra posse; [Kollege] Sie Herr Kollege Brandner gerade
Vizepräsidentin Dagmar Ziegler||62|
Jürgen Martens|FDP|63|[Präsidentin] geehrte Frau Präsidentin Meine Damen; [Kollege] geehrter Herr Kollege Heveling Sie
Vizepräsidentin Dagmar Ziegler||64|
Volker Ullrich|CDU/CSU|65|[Präsidentin] Frau Präsidentin Meine sehr; [Kollegen] Abgeordnete und Kollegen bedrängt haben; [Richter] kann jeder Richter Normen dieser
Vizepräsidentin Dagmar Ziegler||66|
Heike Baehrens|SPD|67|[Präsidentin] geehrte Frau Präsidentin Liebe Kolleginnen; [Kolleginnen] Präsidentin Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Was für
Vizepräsidentin Dagmar Ziegler||68|
Rudolf Henke|CDU/CSU|69|[Präsidentin] Verehrte Frau Präsidentin Liebe Kolleginnen; [Kolleginnen] Präsidentin Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Meine Damen
Vizepräsidentin Dagmar Ziegler||70|
Stephan Brandner|AfD|71|[Kollegen] Rede des Kollegen Luczak zu; [Sekretärin] oder Ihre Sekretärin müssen weiterlesen
Vizepräsidentin Dagmar Ziegler||72|[Schriftführer] Schriftführerinnen und Schriftführer auch hierauf; [Schriftführer] Schriftführerinnen und Schriftführer die vorgesehenen
